period,periodYear,periodQuarter,periodOrder,sourceObject,sourceGrain,ageGroup,unitJoinKey,unitCode,unitZipCode,unitName,coordinatingCouncil,stakeOrDistrict,state,city,snapshotDate,members,participating,males,females,notParticipating,participatingMales,participatingFemales,sourceParticipationRate,lowParticipationFlag,unitPriorityIndex,cityPriorityIndex,isolationVsPerformance,stakeDistanceTier,councilDistanceTier,milesToCouncilCentroid,cityLatitude,cityLongitude
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|alameda branch (spanish),,,Alameda Branch (Spanish),Maryland Baltimore,Baltimore Maryland Stake,Maryland,Alameda,2025 Q3,103.0,12.0,,,,,,0.11650485545396805,1,0.32858040928840637,0.3272610008716583,Low isolation / Low participation,40�75 mi,40�75 mi,72.29670715332031,38.600154876708984,-76.62789154052734
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|baltimore ysa ward,,,Baltimore YSA Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Baltimore,2025 Q3,5.0,2.0,,,,,,0.4000000059604645,0,0.05449492111802101,0.22348611056804657,Low isolation / High participation,20�40 mi,40�75 mi,41.8016471862793,39.2908821105957,-76.61075592041016
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|bynum run ward,,,Bynum Run Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Bynum,2025 Q3,,,,,,,,0.0,0,0.06911851465702057,0.2154407501220703,Low isolation / Low participation,40�75 mi,40�75 mi,53.01902389526367,39.56568908691406,-76.36473846435547
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|chesapeake ward,,,Chesapeake Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Chesapeake,2025 Q3,273.0,43.0,,,,,,0.15750916302204132,0,0.2772235870361328,0.2816001772880554,Low isolation / Low participation,40�75 mi,?75 mi,104.62623596191406,38.228057861328125,-76.26293182373047
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|inner harbor ward,,,Inner Harbor Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Inner Harbor,2025 Q3,181.0,41.0,,,,,,0.22651933133602142,0,0.05455350875854492,0.24927841126918793,Low isolation / High participation,20�40 mi,40�75 mi,41.846588134765625,39.28596115112305,-76.61204528808594
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|jones falls ward,,,Jones Falls Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Jones Falls,2025 Q3,128.0,19.0,,,,,,0.1484375,0,0.2112879753112793,0.3145952820777893,Low isolation / Low participation,20�40 mi,20�40 mi,38.180747985839844,39.3718147277832,-76.65247344970703
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|susquehanna ward,,,Susquehanna Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Susquehanna,2025 Q3,155.0,23.0,,,,,,0.22727273404598236,0,0.1631874144077301,0.17486169934272766,Low isolation / High participation,?75 mi,?75 mi,125.17684173583984,39.47266387939453,-75.98564910888672
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,baltimore maryland stake|winters run ward,,,Winters Run Ward,Maryland Baltimore,Baltimore Maryland Stake,Maryland,Winters Run,2025 Q3,167.0,11.0,,,,,,0.06586826592683792,1,0.4231075048446655,0.40828484296798706,Low isolation / Low participation,40�75 mi,40�75 mi,56.233360290527344,39.43737030029297,-76.30099487304688
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|clarksville ward,,,Clarksville Ward,Maryland Baltimore,Columbia Maryland Stake,Maryland,Clarksville,2025 Q3,47.0,7.0,,,,,,0.1489361673593521,0,0.1982278972864151,0.3080706298351288,Low isolation / Low participation,<20 mi,20�40 mi,29.034961700439453,39.20654296875,-76.94291687011719
2025 Q3,2025,3,1,masc.[mid-atlantic-singles-council-2025-q3_cleaned],unit,,columbia maryland stake|columbia 1st ward,,,Columbia 1st Ward,Maryland Baltimore,Columbia Maryland Stake,Maryland,Columbia,2025 Q3,51.0,8.0,,,,,,0.1568627506494522,0,0.18511255085468292,0.293491005897522,Low isolation / Low participation,<20 mi,20�40 mi,32.83954620361328,39.193843841552734,-76.86460876464844
