coordinatingCouncil,stakeOrDistrict,state,city,unitName,members,participating,participationRate,date
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Alameda,Alameda Branch (Spanish),103,12,0.11650485436893204,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Baltimore,Baltimore YSA Ward,5,2,0.4,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Bynum,Bynum Run Ward,,,,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Chesapeake,Chesapeake Ward,273,43,0.1575091575091575,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Inner Harbor,Inner Harbor Ward,181,41,0.2265193370165746,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Jones Falls,Jones Falls Ward,128,19,0.1484375,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Susquehanna,Susquehanna Ward,155,23,0.14838709677419354,2025-07-01
Maryland Baltimore,Baltimore Maryland Stake,Maryland,Winters Run,Winters Run Ward,167,11,0.0658682634730539,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Clarksville,Clarksville Ward,47,7,0.14893617021276595,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Columbia,Columbia 1st Ward,51,8,0.1568627450980392,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Columbia,Columbia 2nd Ward,104,21,0.20192307692307693,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Eldersburg,Eldersburg Branch,21,5,0.23809523809523808,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Ellicott City,Ellicott City Ward,123,20,0.16260162601626016,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Owings Mills,Owings Mills Branch,41,9,0.21951219512195122,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Patapsco,Patapsco Branch (Spanish),15,5,0.3333333333333333,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Randallstown,Randallstown Branch,68,16,0.23529411764705882,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Savage Mill,Savage Mill Ward,48,7,0.14583333333333334,2025-07-01
Maryland Baltimore,Columbia Maryland Stake,Maryland,Sykesville,Sykesville Branch,30,6,0.2,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Brunswick,Brunswick Ward,63,17,0.2698412698412698,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Catoctin,Catoctin Ward,52,12,0.23076923076923078,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Damascus,Damascus Ward,47,10,0.2127659574468085,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Frederick,Frederick 1st Ward,157,22,0.14012738853503184,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Frederick,Frederick 2nd Ward (Spanish),44,6,0.13636363636363635,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Monocacy,Monocacy Ward,56,12,0.21428571428571427,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Mount Airy,Mount Airy Ward,50,15,0.3,2025-07-01
Maryland Baltimore,Frederick Maryland Stake,Maryland,Walkerville,Walkersville Ward,58,18,0.3103448275862069,2025-07-01
